instruction,response
What is the history of Chandigarh College of Engineering and Technology?,You can find the history of the college on the website by clicking on 'About Us' and then 'History'.
How can I reach Chandigarh College of Engineering and Technology?,You can visit the 'How To Reach Us' section on the website to get directions to the college.
Who is the Principal of Chandigarh College of Engineering and Technology?,You can find the details of the Principal on the website by clicking on 'Administration' and then 'Principal'.
What are the academic departments at Chandigarh College of Engineering and Technology?,"The college has departments of Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. You can visit the 'Academics' section on the website to know more."
What are the programs offered at Chandigarh College of Engineering and Technology?,"The college offers degree courses in various engineering disciplines, as well as a Ph.D. program. You can visit the 'Admissions' section on the website to know more."
How can I apply for admission to Chandigarh College of Engineering and Technology?,"You can visit the 'Admissions' section on the website to know the eligibility criteria, admission procedure, and to apply online."
What are the scholarship opportunities available at Chandigarh College of Engineering and Technology?,The college offers various scholarships to meritorious and deserving students. You can visit the 'Scholarships' section on the website to know more.
How can I contact the college for any query or grievance?,"You can visit the 'Contact Us' section on the website to get the contact details of the college, or to submit an online query or grievance."
What are the facilities available for students at Chandigarh College of Engineering and Technology?,"The college has a range of facilities for students, including a library, computer center, sports facilities, and more. You can visit the 'Life @ CCET' section on the website to know more."
How can I access my online account as a student of Chandigarh College of Engineering and Technology?,"You can visit the 'Student Section' on the website to access your online account and to get information on academics, student welfare, and more."
What are the NIRF reports of Chandigarh College of Engineering and Technology?,You can visit the 'NIRF' section on the website to access the NIRF reports of the college.
How can I access the e-newsletter of Chandigarh College of Engineering and Technology?,You can visit the 'E-News Letter' section on the website to access the e-newsletter of the college.
What is CCET?,"CCET stands for Chandigarh College of Engineering and Technology, a government institute under Chandigarh UT Administration and affiliated to Panjab University, Chandigarh."
What is the vision and mission of CCET?,The vision and mission of CCET are available on the [Vision and Mission](https://www.ccet.ac.in/history.php#vissionAndMission) page.
How to reach CCET?,You can find the directions to CCET on the [How to Reach Us](https://www.ccet.ac.in/visit.php) page.
What academic programs are offered at CCET?,"CCET offers various academic programs, including [Degree Course](https://www.ccet.ac.in/degreeCourse.php), [Degree Course (PU-LEET)](https://www.ccet.ac.in/leetAdmission.php), and [Doctorate (Phd)](https://www.ccet.ac.in/phd.php)."
What is JAC and how does it relate to CCET admissions?,"JAC stands for Joint Admission Committee, which is responsible for admissions to CCET. You can find more information on the [JAC Portal](https://jacchd.admissions.nic.in/)."
What is the eligibility criteria for CCET admissions?,The eligibility criteria for CCET admissions are available on the [Eligibility](https://jacchd.admissions.nic.in/eligibility-status/) page.
What are the academic departments at CCET?,"CCET has various academic departments, including [Computer Science Engineering](https://www.ccet.ac.in/CSE-overview.php), [Mechanical Engineering](https://www.ccet.ac.in/MECH-overview.php), [Electronics and Communication Engineering](https://www.ccet.ac.in/ECE-overview.php), [Civil Engineering](https://www.ccet.ac.in/CIVIL-overview.php), and [Applied Science](https://www.ccet.ac.in/AS-overview.php)."
What kind of student life is available at CCET?,"CCET offers a range of student life activities, including [Student Sections](https://www.ccet.ac.in/studentSection.php), [Hostel](https://www.ccet.ac.in/hostel.php), [Events](https://www.ccet.ac.in/ECE-faculty.php#events), and [Sports Facilities](https://www.ccet.ac.in/sportsFacility.php)."
How can I apply for scholarships at CCET?,Information on scholarships is available on the [Scholarships](https://www.ccet.ac.in/scholarship.php) page.
What is the placement scenario like at CCET?,You can find information on placement opportunities at CCET on the [Placements](http://ccet.ac.in/tnp/index.html) page.
How can I contact CCET?,You can find contact information for CCET on the [Contact Us](https://www.ccet.ac.in/contact.php) page.
What is the history of Chandigarh College of Engineering and Technology?,"You can find the history of CCET on the 'About Us' section of the website, specifically on the 'History' page at https://www.ccet.ac.in/history.php."
What are the courses offered by CCET?,"CCET offers various courses including Degree Course, Degree Course (PU-LEET), and Doctorate (Phd). You can find more information on the 'Academics' section of the website, specifically on the 'Programmes' page at https://www.ccet.ac.in/MECH-syllabus.php#."
How do I apply for admission to CCET?,"You can find admission notices and help desk information on the 'Admissions' section of the website, specifically on the 'Admission Notices' page at https://www.ccet.ac.in/admission_notices.php."
What are the eligibility criteria for admission to CCET?,"You can find the eligibility criteria on the 'Admissions' section of the website, specifically on the 'Criteria' page at https://www.ccet.ac.in/MECH-syllabus.php#."
What are the academic departments at CCET?,"CCET has various academic departments including Computer Science and Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. You can find more information on the 'Academics' section of the website, specifically on the 'Academic Departments' page at https://www.ccet.ac.in/MECH-syllabus.php#."
How do I contact CCET?,"You can contact CCET through various means including phone, email, and online inquiry form. You can find the contact information on the 'Contact Us' page at https://www.ccet.ac.in/contact.php."
What is the academic calendar of CCET?,"You can find the academic calendar on the 'Academics' section of the website, specifically on the 'Academic Calendar' page at https://www.ccet.ac.in/academicCalendar.php."
What are the facilities available at CCET?,"CCET has various facilities including campus virtual tour, class rooms, canteen, infrastructure, sports facility, and more. You can find more information on the 'Life @ CCET' section of the website, specifically on the 'Infrastructure' page at https://www.ccet.ac.in/infrastructure.php."
How do I apply for scholarships at CCET?,"You can find scholarship information and apply through the 'Student Section' of the website, specifically on the 'Scholarships' page at https://www.ccet.ac.in/scholarship.php."
What are the research opportunities available at CCET?,"You can find research opportunities and information on the 'Academics' section of the website, specifically on the 'Research' page at https://www.ccet.ac.in/MECH-research.php."
How do I access the CCET Moodle?,You can access the CCET Moodle at http://192.168.13.19/moodle/. You can find more information on the 'Academics' section of the website.
What is the NIRF report of CCET?,"You can find the NIRF reports on the 'NIRF' section of the website, specifically on the 'NIRF REPORTS' page at https://www.ccet.ac.in/MECH-syllabus.php#."
What is the website of Chandigarh College of Engineering and Technology?,"The website of Chandigarh College of Engineering and Technology is http://www.ccet.ac.in/. For more information, you can visit the website."
How to reach Chandigarh College of Engineering and Technology?,"To reach Chandigarh College of Engineering and Technology, you can visit http://www.ccet.ac.in/visit.php for directions and information on how to reach the campus."
What are the academic departments in Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology has several academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. For more information, visit http://www.ccet.ac.in/antiRagging.php#."
What are the programs offered by Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology offers various programs, including Degree Course, Degree Course (PU-LEET), and Doctorate (Ph.D.). For more information, visit http://www.ccet.ac.in/degreeCourse.php."
How to apply for admission in Chandigarh College of Engineering and Technology?,"To apply for admission in Chandigarh College of Engineering and Technology, visit http://www.ccet.ac.in/admission_notices.php for admission notices and http://www.ccet.ac.in/HelpDesk.php for help desk. You can also visit https://jacchd.admissions.nic.in/ for JAC portal."
What is the student section in Chandigarh College of Engineering and Technology?,"The student section in Chandigarh College of Engineering and Technology includes academics, forms, scholarships, student welfare, and events. For more information, visit http://www.ccet.ac.in/antiRagging.php#."
What is the anti-ragging policy of Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology has a zero-tolerance policy towards ragging. For more information, visit http://www.ccet.ac.in/antiRagging.php and http://www.antiragging.in/."
How to pay student fees in Chandigarh College of Engineering and Technology?,"To pay student fees in Chandigarh College of Engineering and Technology, visit https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593 for online fee payment."
What are the facilities available in the hostel of Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology has separate hostels for boys and girls, with various facilities available. For more information, visit http://www.ccet.ac.in/hostel.php."
What are the placement opportunities in Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology has a dedicated placement cell that provides opportunities for students. For more information, visit http://ccet.ac.in/tnp/index.html."
What is the National Innovation and Startup Policy (NISP)?,"The National Innovation and Startup Policy 2019 is a guiding framework to enable Higher Education Institutions (HEIs) to actively engage students, faculties, and staff in innovation and entrepreneurship related activities."
What are the key sections of the CCET website?,"The key sections of the CCET website include About Us, Admissions, Academics, Student Section, Placements, NIRF, Notices, and E-News Letter."
What are the academic departments at CCET?,"The academic departments at CCET include Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What kind of information can I find in the Student Section?,"In the Student Section, you can find information related to academics, forms, scholarships, Vidya Lakshmi Education Loan, National Apprenticeship Training, student welfare, hostel, events, and student chapters/clubs."
How do I check my exam results or datesheet?,"You can check your exam results or datesheet by visiting the Notices section of the CCET website, where you can find links to exam-related information and resources."
What is the role of the Innovation and Startup Policy at CCET?,"The Innovation and Startup Policy at CCET aims to encourage innovation and entrepreneurship among students, faculties, and staff, and provides a framework for supporting startups and innovation initiatives."
Who are the members of the Innovation and Startup Policy team at CCET?,"The members of the Innovation and Startup Policy team at CCET include Dr. D. S. Saini, Dr. Ashwani Kumar, Dr. Dinesh Sharma, Dr. Gulshan Goyal, Dr. Ankit Gupta, Dr. Parvinder Kaur, Ms. Poonam, Dr. Sarita Sharma, Dr. Vettivel SC, and Dr. Amit Chhabra."
How do I contact the CCET administration?,"You can contact the CCET administration through the Contact Us section of the website, where you can find email addresses, phone numbers, and a contact form."
What kind of support services are available for students at CCET?,"CCET offers various support services for students, including student welfare, hostel facilities, sports facilities, scholarships, and more. You can find more information in the Student Section of the website."
How do I stay updated about CCET news and events?,"You can stay updated about CCET news and events by following the college's social media accounts, subscribing to the E-News Letter, and checking the website regularly for updates."
What is the URL of the college website?,http://www.ccet.ac.in/.
What are the different sections available on the college website?,"The website has sections for about us, admissions, academics, student section, placements, notices, and NIRF reports."
What information is available in the About Us section?,"The About Us section provides information about the college's history, vision and mission, campus map, and how to reach the college."
What are the different academic departments in the college?,"The college has departments of Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What information is available in the Admissions section?,"The Admissions section provides information about admission notices, help desks, JAC portal, counselling schedules, cut-off lists, and admission criteria."
What is the NIRF report?,NIRF report is a report that ranks institutions according to their performance in various parameters. The college's NIRF reports for different years are available on the website.
What is the Student Section?,"The Student Section provides information about student welfare, student council, anti-ragging committee, hostels, scholarships, and student clubs and chapters."
How can I contact the college?,You can contact the college through the contact us page or by visiting the college physically. The address and contact details are available on the website.
What is the purpose of the E-News Letter?,"The E-News Letter is a newsletter that provides updates about the college's events, achievements, and news. You can access the previous issues of the newsletter on the website."
What are the various departments at Chandigarh College of Engineering and Technology?,"The various departments at Chandigarh College of Engineering and Technology include Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. Please visit the college's website for more information: https://www.ccet.ac.in/."
What are the available courses at Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology offers various undergraduate and postgraduate programs, including B.E. (Bachelor of Engineering), B.E. (LEET), and Ph.D. (Doctor of Philosophy). For detailed information on the courses, please visit the college's website: https://www.ccet.ac.in/"
What is the process of admission at Chandigarh College of Engineering and Technology?,"The admission process at Chandigarh College of Engineering and Technology involves counseling and seat allocation through the Joint Admission Committee (JAC). The eligibility criteria and admission procedure can be found on the college's website: https://www.ccet.ac.in/. For more information, please contact the admission helpdesk."
What are the hostel facilities available at Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology provides separate hostel facilities for boys and girls. The hostels are equipped with modern amenities and have a warden and assistant warden to oversee the students' well-being. For more information, please visit the college's website: https://www.ccet.ac.in/hostel.php"
How do I contact the college for any queries or information?,"You can contact Chandigarh College of Engineering and Technology through their website, email, or phone number. The college also has a quick inquiry feature on their website where you can submit your queries: https://www.ccet.ac.in/contact.php"
"What is the E-Akadamik platform, and how does it benefit students?","E-Akadamik is an education platform that provides online resources and services to students. It offers various benefits, including online course materials, virtual classrooms, and student feedback mechanisms. For more information, please visit the E-Akadamik website: http://eakadamik.in/ccet/"
"What is the National Apprenticeship Training scheme, and how does it benefit students?","The National Apprenticeship Training scheme provides students with an opportunity to gain practical industry experience and skills. It offers apprenticeships in various fields, including engineering, technology, and management. For more information, please visit the National Apprenticeship Training website: http://mhrdnats.gov.in/"
"What is the Vidya Lakshmi Education Loan scheme, and how does it benefit students?","The Vidya Lakshmi Education Loan scheme provides financial assistance to students pursuing higher education. It offers education loans at competitive interest rates and has a user-friendly online platform for loan applications. For more information, please visit the Vidya Lakshmi website: https://www.vidyalakshmi.co.in/Students/indexPopup"
How do I apply for scholarships at Chandigarh College of Engineering and Technology?,Chandigarh College of Engineering and Technology offers various scholarships to meritorious and deserving students. The application process and eligibility criteria for scholarships can be found on the college's website: https://www.ccet.ac.in/scholarship.php
"What is the National Institutional Ranking Framework (NIRF) report, and how does it rank institutions?","The National Institutional Ranking Framework (NIRF) report is an annual ranking system that evaluates and ranks institutions based on various parameters, including teaching, learning, and resources, research and professional practices, graduation outcomes, outreach and inclusivity, and perception. For more information, please visit the NIRF website: https://www.nirfindia.org/"
How do I access the college's online fee payment link?,"The online fee payment link for Chandigarh College of Engineering and Technology can be accessed through the college's website: https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593. For any assistance, please contact the college's accounts department."
What is the purpose of the Research and Development Office?,"The Research and Development Office facilitates, channelizes, records, and regulates all the sponsored research projects and consultancy works in the Institute, as per the Institute rules."
What is the aim of research in Chandigarh College of Engineering and Technology?,"The aim of research is to advance theoretical knowledge, develop new technology, and solve practical problems."
How to contact the college?,"You can contact the college through their website, email at pr@ccet.ac.in, or visit them at their campus in Chandigarh."
What are the academic departments in the college?,"The academic departments in the college include Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What is the NIRF report?,"The NIRF report is a document that provides information about the college's performance, ranking, and achievements. You can find the NIRF reports for previous years on the college website."
How to apply for admissions?,"You can apply for admissions through the Joint Admission Committee (JAC) portal. The college website provides detailed information about the admission process, eligibility criteria, and important dates."
What are the facilities available for students?,"The college provides facilities such as library, laboratory, sports facilities, canteen, and hostel accommodation for students."
How to pay fees?,You can pay fees through the HDFC payment gateway available on the college website.
What is the student grievance redressal system?,The student grievance redressal system is a platform where students can submit their grievances and feedback online. The college has a dedicated system to address student grievances and provide support.
What are the student welfare services?,"The college provides student welfare services such as student council, anti-ragging committee, and student grievance redressal system to ensure the well-being of students."
How to access E-Akadamik?,You can access E-Akadamik through the college website. E-Akadamik is a platform that provides educational resources and support to students.
What is the vision and mission of the college?,The vision and mission of the college are available on the college website. The vision is to provide quality education and the mission is to prepare students for the industry.
How to access CCET Moodle?,You can access CCET Moodle through the college website. CCET Moodle is a learning management system that provides online educational resources and support to students.
What are the courses offered by the college?,The college offers various undergraduate and postgraduate courses in engineering and technology. You can find the list of courses on the college website.
What is the academic calendar?,"The academic calendar is available on the college website. It provides information about important dates, events, and deadlines for the academic year."
How to access the online fee payment link?,You can access the online fee payment link through the college website.
What is the counseling schedule for admissions?,The counseling schedule for admissions is available on the JAC portal and the college website.
How to access the academic prospectus?,"You can access the academic prospectus through the college website. The prospectus provides detailed information about the college, its courses, and its facilities."
What is the placement process?,"The placement process involves registration, resume building, aptitude tests, and interviews. The college provides placement support to students through its training and placement cell."
How to access the E-News Letters?,"You can access the E-News Letters through the college website. The E-News Letters provide information about college news, events, and achievements."
What is the URL source of the Chandigarh College of Engineering and Technology website?,The URL source is http://ccet.ac.in/MECH-hodDesk.php.
What are the departments available at Chandigarh College of Engineering and Technology?,"The departments available are Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What is the admission process for degree courses at Chandigarh College of Engineering and Technology?,"The admission process involves counseling through Joint Admission Committee (JAC) and direct admission to the college. For more information, visit https://jacchd.admissions.nic.in/."
What are the eligibility criteria for admission to degree courses at Chandigarh College of Engineering and Technology?,The eligibility criteria can be found at https://jacchd.admissions.nic.in/eligibility-status/.
What programs are offered at Chandigarh College of Engineering and Technology?,"The programs offered are Degree Course, Degree Course (PU-LEET), and Doctorate (Phd)."
How can I reach Chandigarh College of Engineering and Technology?,You can visit the college's campus map at http://ccet.ac.in/campus.php or get directions at http://ccet.ac.in/visit.php.
What are the student welfare facilities available at Chandigarh College of Engineering and Technology?,"The student welfare facilities include officials at student welfare, student council, anti-ragging committee, and student fee payment through HDFC."
How can I contact the college administration?,You can contact the college administration through their official email at pr@ccet.ac.in or visit their contact page at http://ccet.ac.in/contact.php.
What are the academic departments available at Chandigarh College of Engineering and Technology?,"The academic departments available are Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What is the NIRF report of Chandigarh College of Engineering and Technology?,The NIRF report can be found at http://ccet.ac.in/pdf/NIRFReport2023.pdf.
What are the student chapters and clubs available at Chandigarh College of Engineering and Technology?,"The student chapters and clubs available are Apratim, ACM @ CCET, ASME @ CCET, and NSS."
What is the placement scenario at Chandigarh College of Engineering and Technology?,The placement scenario can be found at http://ccet.ac.in/tnp/index.html.
How can I get information about B.E. examinations?,You can get information about B.E. examinations at http://ccet.ac.in/notices.php.
What is the title of this website?,The title of this website is Apratim | Sponsors.
How can I get in touch with Apratim?,"You can get in touch with Apratim by emailing [apratim@ccet.ac.in](mailto:apratim@ccet.ac.in) or visiting Chandigarh College of Engineering and Technology, Sector 26, Chandigarh. For directions, click [here](https://goo.gl/maps/aJZ2mFZA1Q5yHfWo7)."
What are the different sections available on the Apratim website?,"The different sections available on the Apratim website are Home, Events, Schedule, Clubs, Sponsors, and Contact Us. You can access these sections by clicking on the respective links at the top of the page."
Who are the sponsors of Apratim?,"The sponsors of Apratim include Vivo (Digital Sponsor), Ad4print.com (Advertising Sponsor), and AECC, Markfed, and ECP (Co-sponsors). For more information, visit the [Sponsors](http://apratim.ccet.ac.in/sponsors) page."
What are the social media channels where I can follow Apratim?,"You can follow Apratim on Instagram, LinkedIn, and YouTube. Click on the respective links to connect with us: [Instagram](https://www.instagram.com/ccetapratim/), [LinkedIn](https://www.linkedin.com/school/chandigarh-college-of-engineering-technology-degree-wing-panjab-university/?originalSubdomain=in), [YouTube](https://www.youtube.com/@ccetapratim3386)"
Where can I find the privacy policy and terms and conditions of Apratim?,You can find the privacy policy and terms and conditions of Apratim by clicking on the [Privacy Policy](http://apratim.ccet.ac.in/privacy) and [Terms and Conditions](http://apratim.ccet.ac.in/tnc) links at the bottom of the page.
How to reach Chandigarh College of Engineering and Technology?,"Chandigarh College of Engineering and Technology (Degree Wing) is located in Sector-26, Chandigarh. It is approximately 4 km from the Chandigarh Railway station and ISBT. You can get directions from ISBT Sector-43, Chandigarh or ISBT Sector-17, Chandigarh using the provided links."
What are the different departments available at CCET?,"CCET has various academic departments, including Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What are the different programs offered at CCET?,"CCET offers various programs, including Degree Course, Degree Course (PU-LEET), and Doctorate (Phd)."
What is the eligibility criteria for admissions at CCET?,The eligibility criteria for admissions at CCET can be found on the JAC portal. You can also check the eligibility status on the JAC website.
What are the facilities available for students at CCET?,"CCET provides various facilities for students, including hostel facilities, sports facilities, canteen, and infrastructure."
How can I pay my student fees at CCET?,You can pay your student fees at CCET through the HDFC fee payment link.
What is the procedure for submitting answer sheets at CCET?,You can submit your answer sheets through the provided email IDs. Please refer to the notices section for more information.
How can I access the E-news letter of CCET?,You can access the E-news letter of CCET from the website. Various volumes and issues are available for download.
What is the NIRF report of CCET?,CCET's NIRF reports are available on the website. You can download the reports for various years.
What is the Chandigarh College of Engineering and Technology?,"The Chandigarh College of Engineering and Technology is a government institute under the Chandigarh UT Administration and is affiliated to Panjab University, Chandigarh. [Learn more](http://www.ccet.ac.in/)"
What are the various departments in the college?,"The college has various departments such as Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. [Learn more](http://ccet.ac.in/MECH-syllabus.php#)"
What are the programs offered by the college?,"The college offers Degree Course, Degree Course (PU-LEET), and Doctorate (Ph.D.) programs. [Learn more](http://ccet.ac.in/MECH-syllabus.php#)"
What is the admission process?,The admission process involves applying through the Joint Admission Committee (JAC) portal. [Learn more](https://jacchd.admissions.nic.in/)
What are the eligibility criteria for admission?,The eligibility criteria for admission can be found on the JAC website. [Learn more](https://jacchd.admissions.nic.in/eligibility-status/)
What are the facilities available for students?,"The college has various facilities such as a central library, sports facilities, hostel, and infrastructure. [Learn more](http://ccet.ac.in/index.php)"
How do I contact the college?,You can contact the college through phone (+91-172-2750872) or email (pr@ccet.ac.in). [Learn more](http://ccet.ac.in/contact.php)
What is the NIRF report of the college?,The NIRF report of the college can be found on the college website. [Learn more](http://ccet.ac.in/pdf/NIRFReport2023.pdf)
What are the student welfare services available?,"The college has various student welfare services such as scholarships, anti-ragging committee, and student grievances redressal system. [Learn more](http://ccet.ac.in/MECH-syllabus.php#)"
What are the placement opportunities for students?,The college has a placement cell that helps students with placement opportunities. [Learn more](http://ccet.ac.in/tnp/index.html)
What is the infrastructure of Chandigarh College of Engineering and Technology like?,"The college has a huge infrastructure with state of the art facilities. The campus is spread over 32 acres and has modernized classrooms, computer centers, server rooms, well-furnished and air-conditioned computer laboratories, parking facilities, library facilities, cyber café, training and placement cell, bank with ATM, sports facilities, gymnasium, student's canteen, and medical facilities."
What are the academic departments in the college?,"The college has academic departments of Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. For more information, visit [http://ccet.ac.in/CSE-overview.php](http://ccet.ac.in/CSE-overview.php), [http://ccet.ac.in/MECH-overview.php](http://ccet.ac.in/MECH-overview.php), [http://ccet.ac.in/ECE-overview.php](http://ccet.ac.in/ECE-overview.php), [http://ccet.ac.in/CIVIL-overview.php](http://ccet.ac.in/CIVIL-overview.php), and [http://ccet.ac.in/AS-overview.php](http://ccet.ac.in/AS-overview.php)"
What is the admission process in the college?,"The college has a dedicated admission process. For more information, visit [http://ccet.ac.in/admission_notices.php](http://ccet.ac.in/admission_notices.php) and [https://jacchd.admissions.nic.in/](https://jacchd.admissions.nic.in/)"
What are the programs offered by the college?,"The college offers programs like Degree Course, Degree Course (PU-LEET), and Doctorate (Phd). For more information, visit [http://ccet.ac.in/degreeCourse.php](http://ccet.ac.in/degreeCourse.php), [http://ccet.ac.in/leetAdmission.php](http://ccet.ac.in/leetAdmission.php), and [http://ccet.ac.in/phd.php](http://ccet.ac.in/phd.php)"
How do I pay my student fees?,"You can pay your student fees through HDFC payment gateway. For more information, visit [https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593](https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593)"
What are the facilities available in the college?,"The college has facilities like modernized classrooms, computer centers, server rooms, well-furnished and air-conditioned computer laboratories, parking facilities, library facilities, cyber café, training and placement cell, bank with ATM, sports facilities, gymnasium, student's canteen, and medical facilities. For more information, visit [http://ccet.ac.in/infrastructure.php](http://ccet.ac.in/infrastructure.php)"
How do I submit my answer sheets?,"You can submit your answer sheets through the provided email IDs. For more information, visit [http://ccet.ac.in/pdf/notices/exams/EMAILIDS2021submissionJuly2021.pdf](http://ccet.ac.in/pdf/notices/exams/EMAILIDS2021submissionJuly2021.pdf)"
What are the datesheets for B.E. examinations?,"The datesheets for B.E. examinations are available on the college website. For more information, visit [http://ccet.ac.in/pdf/notices/exams/](http://ccet.ac.in/pdf/notices/exams/)"
How do I contact the college?,"You can contact the college through phone, email, or by visiting the campus. For more information, visit [http://ccet.ac.in/contact.php](http://ccet.ac.in/contact.php)"
What is the mission of Chandigarh College of Engineering and Technology?,"The mission of Chandigarh College of Engineering and Technology is not explicitly stated in the provided document. However, the college's vision and mission can be found at [http://ccet.ac.in/history.php#vissionAndMission](http://ccet.ac.in/history.php#vissionAndMission)."
What are the academic departments available at CCET?,"The academic departments available at CCET are Computer Science and Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science. For more information, visit [http://ccet.ac.in/coursesOffered.php#](http://ccet.ac.in/coursesOffered.php#)."
How can I get admissions in CCET?,"The admission process at CCET involves applying through the Joint Admission Committee (JAC) portal. For more information on admission notices, help desk, and counselling schedule, visit [http://ccet.ac.in/admission_notices.php](http://ccet.ac.in/admission_notices.php) and [https://jacchd.admissions.nic.in/](https://jacchd.admissions.nic.in/)."
What are the courses offered by CCET?,"CCET offers various undergraduate and postgraduate courses, including Degree Course, Degree Course (PU-LEET), and Doctorate (PhD). For more information, visit [http://ccet.ac.in/coursesOffered.php](http://ccet.ac.in/coursesOffered.php)."
What is the student grievance redressal system at CCET?,"The student grievance redressal system at CCET is an online portal where students can lodge their grievances and track their status. To access the portal, visit [http://ccet.ac.in/grievances/login.php](http://ccet.ac.in/grievances/login.php)."
How can I pay my fees at CCET?,"You can pay your fees at CCET through the HDFC payment gateway. For more information, visit [https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593](https://paydirect.eduqfix.com/app/3qTjKfysWsfqEyNTM4giVFX4VGVYGZss5NYRHpY65DaJgmu14S3Ff6NKoVa3l2Ay/6593)."
What are the hostel facilities available at CCET?,"CCET has separate boys' and girls' hostels with various facilities. For more information, visit [http://ccet.ac.in/hostelboys.php](http://ccet.ac.in/hostelboys.php) and [http://ccet.ac.in/hostelgirls.php](http://ccet.ac.in/hostelgirls.php)."
How can I get in touch with CCET?,"You can get in touch with CCET through their contact page, which provides phone numbers, email IDs, and a contact form. For more information, visit [http://ccet.ac.in/contact.php](http://ccet.ac.in/contact.php)."
What are the NIRF reports of CCET?,"The NIRF reports of CCET are available on their website. For more information, visit [http://ccet.ac.in/pdf/NIRFReport2023.pdf](http://ccet.ac.in/pdf/NIRFReport2023.pdf) and other relevant links."
What is the website of Chandigarh College of Engineering and Technology?,http://ccet.ac.in/
What are the different sections available on the CCET website?,"The different sections available on the CCET website are About Us, Admissions, Academics, Student Section, Placements, NIRF, Notices, and E-Cell."
What is the history of CCET?,"The history of CCET can be found on the About Us section of the website, specifically on the History page."
What are the academic departments available at CCET?,"The academic departments available at CCET are Computer Science Engineering, Mechanical Engineering, Electronics and Communication Engineering, Civil Engineering, and Applied Science."
What are the facilities available for students at CCET?,"The facilities available for students at CCET include Campus Virtual Tour, Class Rooms, Canteen, Infrastructure, Sports Facility, Hostel, and more."
What are the programs offered at CCET?,"The programs offered at CCET include Degree Course, Degree Course (PU-LEET), and Doctorate (Phd)."
What is the eligibility criteria for admissions at CCET?,"The eligibility criteria for admissions at CCET can be found on the Admissions section of the website, specifically on the Eligibility page."
What is the process for applying for admissions at CCET?,"The process for applying for admissions at CCET can be found on the Admissions section of the website, specifically on the Admission Notices and Help Desk pages."
What are the NIRF reports available on the CCET website?,"The NIRF reports available on the CCET website include NIRF Report 2023, NIRF Report 2022, NIRF Report 2021, and NIRF Report 2020."
What is the student grievance redressal system at CCET?,"The student grievance redressal system at CCET can be found on the Student Section of the website, specifically on the Student Grievances Redressal System page."
What are the quick links available on the CCET website?,"The quick links available on the CCET website include RTI, Downloads, Contact Us, and more."
What is the E-Cell at CCET?,"The E-Cell at CCET is dedicated to helping students with their academic and extracurricular activities, and includes resources such as Google Classroom and Meet, and a student helpdesk."
Who are the faculty incharges and student helpdesk coordinators of the E-Cell?,"The faculty incharges and student helpdesk coordinators of the E-Cell are Dr. Dheerendra Singh, Siddharth Singh Khati, Saket Sarin, Sahil Garg, and Saksham Arora."
What is the mission and vision of CCET?,CCET's vision and mission can be found at [http://ccet.ac.in/history.php#vissionAndMission](http://ccet.ac.in/history.php#vissionAndMission).
